PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
3757,440206118,44117384,CC(C)(C)SC1=NN2C(=NN(C2=O)CC(=O)NC3=CC(=CC=C3)SC)C=C1,Unspecified,,,,,Inhibition,=,-2.88,%,Average; N=3,
3758,440206121,49665060,CCC1=CC=C(C=C1)N(CC2=CC=C(C=C2)C=C)S(=O)(=O)C3=CC=CN4C3=NN=C4C,Unspecified,,,,,Inhibition,=,9.91,%,Average; N=4,
3759,440206123,53199356,CCOC(=O)C1CCCN(C1)C(=O)CN2C(=O)N3C4=C(C(=O)N(C3=N2)CC(C)C)SC=C4,Unspecified,,,,,Inhibition,=,-2.49,%,Average; N=4,
3760,440206124,155560127,C1=CC=C(C=C1)CN2C3=C(C=CC(=C3)Cl)N=C2C4=CSC=N4,Unspecified,,,,,Inhibition,=,-8.96,%,Average; N=2,
3761,440206128,155560128,CC1=NC=C(C(=N1)N)CNC2=CC=CC=C2F,Unspecified,,,,,Inhibition,=,17.82,%,Average; N=2,
3762,440206136,91812652,CC1=C(C=CC=C1Cl)N2C=CN3C(=NN(C3=O)CC4=CC=C(C=C4)Cl)C2=O,Unspecified,,,,,Inhibition,=,9.17,%,Average; N=3,
3763,440206147,91812636,CC1=CC(=C(C=C1)C)CN2C(=O)N3C=CN(C(=O)C3=N2)C4=CC(=C(C=C4)C)C,Unspecified,,,,,Inhibition,=,6.02,%,Average; N=3,
3764,440206155,3137556,CC1=C2C(C(=C(OC2=NN1)N)C#N)C3=CC(=C(C=C3)O)O,Unspecified,,,,,Inhibition,=,9.09,%,Average; N=2,
3765,440206206,45498925,C1CCC2=C(C1)C3=C(S2)N=CN4C3=NN(C4=O)CC(=O)N5CCC6=CC=CC=C6C5,Unspecified,,,,,Inhibition,=,0.97,%,Average; N=3,
3766,440206275,49675240,CC1=C(C=C(C=C1)Cl)NC(=O)CSC2=NN=C3N2C=C(C=C3)C(=O)NC4=CC(=CC=C4)F,Unspecified,,,,,Inhibition,=,14.11,%,Average; N=4,
3767,440206276,49662835,C1=CC=C(C=C1)SC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=C(C(=CC=C4)Cl)F,Unspecified,,,,,Inhibition,=,9.57,%,Average; N=4,
3768,440206283,91812644,CC1=C(C=CC=C1Cl)N2C=CN3C(=NN(C3=O)CC4=CC=C(C=C4)F)C2=O,Unspecified,,,,,Inhibition,=,2.79,%,Average; N=3,
3769,440206300,49658497,CC(=O)C1=CC=C(C=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,5.54,%,Average; N=4,
3770,440206312,155560202,CCN(CC)CC.C[C@@H](CC1[C@H]([C@H]([C@@H]([C@H](O1)[C@@H](CO)O)O)O)O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,Unspecified,,,,,Inhibition,=,27.38,%,Average; N=2,
3771,440206408,155560252,CCOC(=O)C1=CC(=CN1C)NC(=O)C2=CC(=CN2C)NC(=O)C3=C(SC(=N3)N)C(C)C,Unspecified,,,,,Inhibition,=,29.56,%,Average; N=2,
3772,440206414,49666065,C1=CC=C(C=C1)N(CC2=CC(=CC=C2)Cl)S(=O)(=O)C3=CN4C=NN=C4C=C3,Unspecified,,,,,Inhibition,=,11.21,%,Average; N=4,
3773,440206421,53074369,CC1=CC(=C(C=C1)C)CN2C(=O)N3C4=C(C(=O)N(C3=N2)CCC(C)C)SC=C4,Unspecified,,,,,Inhibition,=,8.96,%,Average; N=4,
3774,440206450,49665075,CC1=NN=C2N1C=CC=C2S(=O)(=O)N(CC3=CC=C(C=C3)C=C)C4=CC=C(C=C4)C(C)C,Unspecified,,,,,Inhibition,=,-12.1,%,Average; N=4,Outside typical range
3775,440206498,49667156,CC1=C(C=C(C=C1)F)NC(=O)CN2C(=O)N3C(=N2)C=C(N=C3NC4=CC(=C(C=C4)F)C)C,Unspecified,,,,,Inhibition,=,9.03,%,Average; N=4,
3776,440206548,84104151,COC1=C(C=CC(=C1)C2CC2(C(=O)O)N)O,Unspecified,,,,,Inhibition,=,4.38,%,Average; N=2,
3777,440206556,155560313,CC1=NC2=C(C=C1C#N)C(=NN2C)N,Unspecified,,,,,Inhibition,=,30.49,%,Average; N=2,
3778,440206573,46329700,COC1=CC(=CC=C1)SC2=NC3=CC=CC=C3N4C2=NN(C4=O)CC(=O)NC5=CC=CC(=C5)C#N,Unspecified,,,,,Inhibition,=,2.4,%,Average; N=4,
3779,440206593,45500133,CC1=C(C=C(C=C1)NC(=O)CN2C(=O)N3C=CN4C(=CC(=N4)C5=CC=C(C=C5)Cl)C3=N2)C,Unspecified,,,,,Inhibition,=,10.49,%,Average; N=4,
3780,440206627,50806232,COC1=C(C=C(C=C1)NC(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC(=CC=C4)OC)OC,Unspecified,,,,,Inhibition,=,14.09,%,Average; N=3,
3781,440206630,155560340,C1=CC=C(C=C1)NC2=CC=CC=C2C3=C(C=C(C=C3Cl)[N+](=O)[O-])Cl,Unspecified,,,,,Inhibition,=,19.61,%,Average; N=2,
3782,440206639,155560345,CC(C)CCC1=C(N=C(S1)NC(=O)C2=CC(=CN2C)NC(=O)C3=CC(=CN3C)N=C(C4=CC(=CC=C4)OC)N)C(=O)NCCCN(C)C.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Unspecified,,,,,MIC,=,2,ug.mL-1,Median N= 2; Range 4 - 2  Ug.Ml-1,
3783,440206641,49664959,CC1=CC(=CC=C1)CN(C2=CC=CC=C2)S(=O)(=O)C3=CC=CN4C3=NN=C4C,Unspecified,,,,,Inhibition,=,5.16,%,Average; N=4,
3784,440206682,132893045,CC1=CC=C(C=C1)C(=O)NC(CC2=CC=C(C=C2)F)C(=O)O,Unspecified,,,,,Inhibition,=,-6.37,%,Average; N=2,
3785,440206682,132893045,CC1=CC=C(C=C1)C(=O)NC(CC2=CC=C(C=C2)F)C(=O)O,Unspecified,,,,,Inhibition,=,20.52,%,Average; N=2,
3786,440206771,155560408,C1[C@@H]2[C@@H]([C@H]([C@@H]1Cl)CC(=O)O2)C=NNC(=O)C3=CC=NC=C3,Unspecified,,,,,Inhibition,=,33.55,%,Average; N=2,
3787,440206798,155560419,CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)N3[C@@H]4C[C@H]5CCC4(C5(C)C)CS3(=O)=O,Unspecified,,,,,Inhibition,=,-1.02,%,Average; N=2,
3788,440206847,49663017,COC1=CC(=CC(=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)C4=CC=C(C=C4)Cl)OC,Unspecified,,,,,Inhibition,=,-2.47,%,Average; N=4,
3789,440206860,49662760,CC1=CC=CC=C1OC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC(=CC=C4)SC,Unspecified,,,,,Inhibition,=,6.72,%,Average; N=4,
3790,440206909,45499906,CC1=C(C=C(C=C1)C2=NN3C=CN4C(=NN(C4=O)CC(=O)NC5=CC(=C(C=C5)OC)OC)C3=C2)C,Unspecified,,,,,Inhibition,=,7.31,%,Average; N=4,
3791,440206947,44117320,CC1=CC=C(C=C1)CNC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SCC4=CC=C(C=C4)Cl,Unspecified,,,,,Inhibition,=,11.66,%,Average; N=4,
3792,440206960,135411716,C1=CC=C(C=C1)CC(=O)N/N=C/C2=CNC3=CC=CC=C32,Unspecified,,,,,Inhibition,=,9.24,%,Average; N=2,
3793,440206995,155560498,CCN(CC)CC.C[C@@H](CC1[C@H]([C@H]([C@@H]([C@H](O1)[C@H](CO)O)O)O)O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,Unspecified,,,,,Inhibition,=,27.76,%,Average; N=2,
3794,440207009,155560507,CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NCCN3CCOCC3)C)NC(=O)C4=CC=C(C=C4)/C=C/C5CC5.C(=O)(C(F)(F)F)O,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 25.2 Pct,
3795,440207009,155560507,CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NCCN3CCOCC3)C)NC(=O)C4=CC=C(C=C4)/C=C/C5CC5.C(=O)(C(F)(F)F)O,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 29.2 Pct,
3796,440207025,49666108,CC1=NN=C2N1C=C(C=C2)S(=O)(=O)N(CC3=CC=CC=C3F)C4=CC=C(C=C4)OC,Unspecified,,,,,Inhibition,=,8.97,%,Average; N=4,
3797,440207215,155560585,CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NCCN3CCC(CC3)OC)C)NC(=O)C4=CN=C(C=C4)/C=C/C5=CC=C(C=C5)OC.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Unspecified,,,,,MIC,=,1,ug.mL-1,Median N= 2,
3798,440207254,56685283,CC1=CC=C(C=C1)C2=NN3C=CN4C(=NN(C4=O)CC(=O)NC5=CC6=C(C=C5)OCO6)C3=C2,Unspecified,,,,,Inhibition,=,12.49,%,Average; N=4,
3799,440207337,45500124,CC(=O)C1=CC=C(C=C1)NC(=O)CN2C(=O)N3C=CN4C(=CC(=N4)C5=CC=C(C=C5)Cl)C3=N2,Unspecified,,,,,Inhibition,=,8.4,%,Average; N=4,
3800,440207420,49662965,CCC1=CC=CC=C1SC2=NC=CN3C2=NN(C3=O)CC(=O)NCC4=CC=C(C=C4)OC,Unspecified,,,,,Inhibition,=,-5.48,%,Average; N=4,
3801,440207440,49674362,CC1=C(N=C(O1)C2=CC(=C(C=C2)OC)OC)CSC3=NC4=CC=CC=C4N5C3=NN=C5C(C)C,Unspecified,,,,,Inhibition,=,-10.5,%,Average; N=4,Outside typical range
3802,440207498,50806589,CCC1=CC(=CC=C1)NC(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC(=CC=C4)OC,Unspecified,,,,,Inhibition,=,9.81,%,Average; N=3,
3803,440207534,45499633,CC1=C(C(=CC=C1)NC(=O)CSC2=NN=C3N2C=CN4C3=CC(=N4)C5=CC=C(C=C5)OC)C,Unspecified,,,,,Inhibition,=,-11.43,%,Average; N=4,Outside typical range
3804,440207613,49662608,CCOC1=CC=CC=C1NC(=O)CN2C(=O)N3C=CN=C(C3=N2)OC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,5.93,%,Average; N=4,
3805,440207618,49664960,CCC1=NN=C2N1C=CC=C2S(=O)(=O)N(CC3=CC(=CC=C3)OC)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,13.09,%,Average; N=4,
3806,440207663,44117359,CC1=CC(=C(C=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC(C)C)C,Unspecified,,,,,Inhibition,=,-3.52,%,Average; N=3,
3807,440207687,49662947,C1CCC(CC1)SC2=NC=CN3C2=NN(C3=O)CC(=O)N4CCN(CC4)C5=CC=CC=C5,Unspecified,,,,,Inhibition,=,2.31,%,Average; N=4,
3808,440207712,102100955,C1=CC=C(C=C1)C2=C(C(=O)OC3=C2C4=CC=CC=C4C=C3)C#N,Unspecified,,,,,Inhibition,=,27.54,%,Average; N=2,
3809,440207714,49665001,CC1=CC(=CC(=C1)N(CC2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CN4C3=NN=C4)C,Unspecified,,,,,Inhibition,=,-4.06,%,Average; N=4,
3810,440207719,49664995,CC1=NN=C2N1C=CC=C2S(=O)(=O)N(CC3=CC=C(O3)C(=O)OC)C4=CC=C(C=C4)F,Unspecified,,,,,Inhibition,=,11.5,%,Average; N=4,
3811,440207723,68388466,C1=CC2=C(C=C1Cl)C3=CC4=C(C(=C3N2)OCCN5C(=NN=N5)N)NC6=C4C=C(C=C6)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 0.7 Pct,
3812,440207724,155560786,CC1CC(=O)NC2=NC3=C(CCCC3)C(=C12)N,Unspecified,,,,,Inhibition,=,27.94,%,Average; N=2,
3813,440207734,49664994,CC1=NN=C2N1C=CC=C2S(=O)(=O)N(CC3=CC=C(C=C3)OC)C4=CC=C(C=C4)F,Unspecified,,,,,Inhibition,=,15.23,%,Average; N=4,
3814,440207742,49662832,C1COC2=C(O1)C=CC(=C2)NC(=O)CN3C(=O)N4C=CN=C(C4=N3)SC5=CC=CC=C5,Unspecified,,,,,Inhibition,=,-4.66,%,Average; N=4,
3815,440207781,50806523,CCC1=CC(=CC=C1)NC(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC=C(C=C4)OCC,Unspecified,,,,,Inhibition,=,-2.86,%,Average; N=3,
3816,440207785,49663406,CSC1=CC=C(C=C1)CNC(=O)CN2C(=O)N3C=CN=C(C3=N2)N4CCN(CC4)C5=CC=CC=C5,Unspecified,,,,,Inhibition,=,15.59,%,Average; N=4,
3817,440207811,155560816,CC1=CC=C(C=C1)C2C3=C(C=CC4=CC=CC=C43)OC5=C2C(=NN=N5)Cl,Unspecified,,,,,Inhibition,=,36.97,%,Average; N=2,
3818,440207857,132992881,COC(COC1=CN=CC2=NN=C(N12)C3=CC=C(C=C3)C#N)C4=CC(=C(C=C4)F)F,Unspecified,,,,,Inhibition,=,-4.85,%,Average; N=2,
3819,440207921,155560850,C#CCNCC1=CC2=C(N1)C=CC(=C2)OCC3=CC=CC=C3.Cl,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 3.0 Pct,
3820,440207952,49667115,CC1=C(C=C(C=C1)F)NC(=O)CN2C(=O)N3C(=N2)C=C(N=C3NC4=CC=C(C=C4)F)C,Unspecified,,,,,Inhibition,=,4.25,%,Average; N=4,
3821,440207965,91812629,CC1=C(C=C(C=C1)N2C=CN3C(=NN(C3=O)CC4=CC=C(C=C4)Cl)C2=O)C,Unspecified,,,,,Inhibition,=,0.27,%,Average; N=3,
3822,440207968,49815809,CC(C)C1=NN=C2N1C3=CC=CC=C3N(C2=O)CC(=O)NC4=CC(=CC=C4)OC,Unspecified,,,,,Inhibition,=,22.3,%,Average; N=4,
3823,440207984,91623459,COC1=CC=C(C=C1)N2C=CN3C(=NN=C3C2=O)C4=CC=C(C=C4)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,12.69,%,Average; N=4,
3824,440207994,49662949,CC1=CC(=C(C=C1)SC2=NC=CN3C2=NN(C3=O)CC(=O)N4CCN(CC4)C5=CC=CC=C5)C,Unspecified,,,,,Inhibition,=,-10.57,%,Average; N=4,Outside typical range
3825,440208001,49663415,CC1CC(CN(C1)C2=NC=CN3C2=NN(C3=O)CC(=O)NC4=C(C=C(C=C4)OC)OC)C,Unspecified,,,,,Inhibition,=,18.35,%,Average; N=4,
3826,440208020,49665711,CC1=NC(=CC2=NN(C(=O)N12)CC(=O)NC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5,Unspecified,,,,,Inhibition,=,14.7,%,Average; N=4,
3827,440208023,50806368,CCOC1=CC=C(C=C1)C(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC(=CC=C4)OC,Unspecified,,,,,Inhibition,=,5.74,%,Average; N=3,
3828,440208076,6435926,CCOC(=O)[C@@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O.C(=C\C(=O)O)\C(=O)O,Unspecified,,,,,Inhibition,=,8.37,%,Average; N=2,
3829,440208104,45283590,COC1=CC=CC=C1N2C=CN3C(=NN(C3=O)CC4=C(C=C(C=C4)F)Cl)C2=O,Unspecified,,,,,Inhibition,=,9.6,%,Average; N=4,
3830,440208116,155560923,C1=CC=C2C(=C1)C=CC3=C2OC(=NBr)C(C3C4=CC=C(C=C4)[N+](=O)[O-])(C#N)Br,Unspecified,,,,,Inhibition,=,36.89,%,Average; N=2,
3831,440208131,50806463,COC1=CC=CC(=C1)CSC2=NN=C3N2C=CN(C3=O)C4=CC=C(C=C4)Br,Unspecified,,,,,Inhibition,=,20.73,%,Average; N=4,
3832,440208159,53061622,CC(C)C1=NN=C2N1C3=CC=CC=C3N(C2=O)CC(=O)NC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,12.53,%,Average; N=4,
3833,440208193,45499681,C1=CC=C(C(=C1)CNC(=O)CCC2=NN=C3N2C=CN4C3=CC(=N4)C5=CC=C(C=C5)F)Cl,Unspecified,,,,,Inhibition,=,-0.61,%,Average; N=4,
3834,440208241,50786449,CC1=CC(=C(C=C1)C)C2=NN3C=CN4C(=NN=C4SCC(=O)NCC5=C(C(=CC=C5)OC)OC)C3=C2,Unspecified,,,,,Inhibition,=,5.75,%,Average; N=3,
3835,440208251,251704,CC(=O)OC1=CC(=C(C=C1)C=C2C(=O)OC(=N2)C3=CC=CC=C3)OC(=O)C,Unspecified,,,,,Inhibition,=,7.39,%,Average; N=2,
3836,440208262,49658530,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)C(=O)CCC3=NN=C4N3C=CN5C4=CC(=N5)C6=CC=CC=C6,Unspecified,,,,,Inhibition,=,1.17,%,Average; N=4,
3837,440208271,21755317,CCCC1(C2=C(C=CC(=C2)Cl)NC(=O)N1C)C3CC3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.3 Pct,
3838,440208317,50806230,CC1=CC=C(C=C1)CSC2=NN=C3N2C=CN(C3=O)C4=CC(=CC=C4)OC,Unspecified,,,,,Inhibition,=,8.11,%,Average; N=3,
3839,440208387,50806400,COC1=CC=CC(=C1)N2C=CN3C(=NN=C3SCC(=O)NC4=CC5=C(C=C4)OCCO5)C2=O,Unspecified,,,,,Inhibition,=,11.59,%,Average; N=3,
3840,440208388,49663121,CC1=C(C=C(C=C1)C2=NN3C(=NN(C3=O)CC4=NC(=NO4)C5=C(C(=CC=C5)OC)OC)C=C2)C,Unspecified,,,,,Inhibition,=,6.16,%,Average; N=4,
3841,440208430,44117397,CC(C)(C)SC1=NN2C(=NN(C2=O)CC(=O)NC3=CC=CC=C3Cl)C=C1,Unspecified,,,,,Inhibition,=,7.11,%,Average; N=3,
3842,440208466,155561038,CCCCCCCNC(=O)CCNC(=O)C(C(C)(C)C)O,Unspecified,,,,,Inhibition,=,18.01,%,Average; N=2,
3843,440208504,49663443,CCCN(C)C1=NC=CN2C1=NN(C2=O)CC(=O)NC3=CC=C(C=C3)Br,Unspecified,,,,,Inhibition,=,8.04,%,Average; N=4,
3844,440208525,155561064,CC1=C(C=CC(=C1)[N+](=O)[O-])C2=C(C=CC=C2OC)N(C)C3=CC(=CC=C3)OC,Unspecified,,,,,Inhibition,=,23.07,%,Average; N=2,
3845,440208527,49664962,CCC1=NN=C2N1C=CC=C2S(=O)(=O)N(CC3=CC(=CC(=C3)F)F)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,7.38,%,Average; N=4,
3846,440208565,49662654,CC1=CC=C(C=C1)OC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC(=CC=C4)Br,Unspecified,,,,,Inhibition,=,4.81,%,Average; N=4,
3847,440208572,49667163,CC1=C(C=C(C=C1)NC2=NC(=CC3=NN(C(=O)N32)CC(=O)NC4=CC=CC=C4F)C)F,Unspecified,,,,,Inhibition,=,-7.63,%,Average; N=4,
3848,440208647,44117335,CSC1=CC=CC(=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC4CCCCC4,Unspecified,,,,,Inhibition,=,-9.19,%,Average; N=4,
3849,440208675,50806178,CCC(C(=O)NC1=CC(=CC(=C1)OC)OC)SC2=NN=C3N2C=CN(C3=O)C4=CC(=CC=C4)OC,Unspecified,,,,,Inhibition,=,13.02,%,Average; N=3,
3850,440208683,49662820,CC1=CC(=C(C=C1)NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4=CC=CC=C4)C,Unspecified,,,,,Inhibition,=,5.22,%,Average; N=4,
3851,440208691,49666127,C1OC2=C(O1)C=C(C=C2)N(CC3=CC=C(C=C3)Cl)S(=O)(=O)C4=CN5C=NN=C5C=C4,Unspecified,,,,,Inhibition,=,11.62,%,Average; N=4,
3852,440208742,22582018,C1=CC=C(C=C1)CCNC(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC(=CC=C4)F,Unspecified,,,,,Inhibition,=,-2.66,%,Average; N=4,
3853,440208756,49665040,CCC1=NN=C2N1C=CC=C2S(=O)(=O)N(CC3=CC=C(C=C3)F)C4=CC(=CC=C4)Cl,Unspecified,,,,,Inhibition,=,8.4,%,Average; N=4,
3854,440208789,53199291,CC(C)CCN1C(=O)C2=C(C=CS2)N3C1=NN(C3=O)CC(=O)N(C)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,-2.05,%,Average; N=4,
3855,440208793,155561166,C1CNCCC1OC2=C(C=C3C=CN=CC3=C2)C4=CC=C(S4)CNC5=CN=CC=C5.Cl,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 31.6 Pct,
3856,440208798,50806440,CCOC1=CC=C(C=C1)N2C=CN3C(=NN=C3SCC(=O)NC4=C(C=CC(=C4)Cl)OC)C2=O,Unspecified,,,,,Inhibition,=,6.02,%,Average; N=3,
3857,440208852,155561190,COC(=O)C1(C[C@@H](C(=C)C1)[C@H](C2=CC=CC=C2)N3C=CC4=C3C=C(C=C4)Cl)C(=O)OC,Unspecified,,,,,Inhibition,=,17.85,%,Average; N=2,
3858,440208964,44117385,CCC1=CC=C(C=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC(C)(C)C,Unspecified,,,,,Inhibition,=,4.76,%,Average; N=3,
3859,440208986,49673240,CC1=CC(=CC=C1)NC(=O)C2=CN3C(=NN(C3=O)CC(=O)N4CCC5=CC=CC=C5C4)C=C2,Unspecified,,,,,Inhibition,=,-5.11,%,Average; N=4,
3860,440208993,53061629,CC(C)C1=NN=C2N1C3=CC=CC=C3N(C2=O)CC(=O)NC4=CC(=CC=C4)Cl,Unspecified,,,,,Inhibition,=,5.77,%,Average; N=4,
3861,440209012,50786174,CCCCOC1=CC=C(C=C1)C2=NN3C=CN4C(=NN=C4SCC(=O)NC5=C(C=CC(=C5)F)C)C3=C2,Unspecified,,,,,Inhibition,=,-12.48,%,Average; N=4,Outside typical range
3862,440209042,155561263,CC(=NN)C1=CC(=CC(=C1)/C(=N/N)/C)/C(=N/N)/C,Unspecified,,,,,Inhibition,=,18.93,%,Average; N=2,
3863,440209099,130778409,CN(CC#C)C1=CC(=NC(=N1)N)Cl,Unspecified,,,,,Inhibition,=,26.35,%,Average; N=2,
3864,440209106,155561291,C1[C@@H]2[C@H](C[C@H]([C@@H]1O)[C@H]2/C=N/NOC(=O)C3=CC=NC=C3)Cl,Unspecified,,,,,Inhibition,=,25.17,%,Average; N=2,
3865,440209113,50804918,CCC(C(=O)NC1=CC(=CC(=C1)OC)OC)SC2=NN=C3N2C=CN(C3=O)C4=CC=C(C=C4)F,Unspecified,,,,,Inhibition,=,15.63,%,Average; N=4,
3866,440209118,49662953,CCC1=CC=CC=C1SC2=NC=CN3C2=NN(C3=O)CC(=O)N4CCN(CC4)C5=CC=CC=C5F,Unspecified,,,,,Inhibition,=,-3.66,%,Average; N=4,
3867,440209140,155561304,C#CCNC1=NC(=C(C=C1C#N)C#N)NC2CCN(CC2)CC3=CC=CC=C3.Cl,Unspecified,,,,,Inhibition,=,-1.55,%,Average; N=2,
3868,440209151,50786078,COC1=CC(=C(C=C1)OC)NC(=O)CN2C(=O)N3C4=CC=CC=C4N=C(C3=N2)SC5=CC=CC=C5,Unspecified,,,,,Inhibition,=,6.17,%,Average; N=4,
3869,440209166,49665090,CC1=CC=CC=C1CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CN4C3=NN=C4C,Unspecified,,,,,Inhibition,=,11.54,%,Average; N=4,
3870,440209212,155561337,C1=CC=C2C(=C1)C=C(N2)C(=O)N/N=C/C3=CC=C(C=C3)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,11.24,%,Average; N=2,
3871,440209215,155561339,C1[C@@H]([C@@H]2CC(=NNC(=O)C3=CC=NC=C3)C[C@@H]2[C@@H]1COC(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)COC(C7=CC=CC=C7)(C8=CC=CC=C8)C9=CC=CC=C9,Unspecified,,,,,Inhibition,=,-0.42,%,Average; N=2,
3872,440209226,155561345,CC1=C(C(=CC=C1)C)NC2=CC=CC=C2C3=CC=CC=C3[N+](=O)[O-],Unspecified,,,,,Inhibition,=,57.09,%,Average; N=2,
3873,440209246,44117332,COC1=C(C=C(C=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC4CCCCC4)OC,Unspecified,,,,,Inhibition,=,3.6,%,Average; N=4,
3874,440209251,49666109,CC1=NN=C2N1C=C(C=C2)S(=O)(=O)N(CC3=CC(=CC=C3)F)C4=CC=C(C=C4)OC,Unspecified,,,,,Inhibition,=,-0.61,%,Average; N=4,
3875,440209268,49673575,COCCCNC(=O)CSC1=NN=C2N1C=CN(C2=O)CC3=CC=CC=C3F,Unspecified,,,,,Inhibition,=,-1.95,%,Average; N=4,
3876,440209277,49664979,CC1=NN=C2N1C=CC=C2S(=O)(=O)N(CC3=CC(=CC=C3)F)C4=CC(=CC=C4)F,Unspecified,,,,,Inhibition,=,18.57,%,Average; N=4,
3877,440209309,14871601,C1=CC=C2C(=C1)C=CC3=C2C(C(=C(O3)N)C#N)C4=CC=C(C=C4)O,Unspecified,,,,,Inhibition,=,42.7,%,Average; N=2,
3878,440209333,49667167,CC1=C(C=C(C=C1)F)NC(=O)CN2C(=O)N3C(=N2)C=C(N=C3NC4=CC(=C(C=C4)C)F)C,Unspecified,,,,,Inhibition,=,2.63,%,Average; N=4,
3879,440209433,50804694,COC1=CC=C(C=C1)C(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC=C(C=C4)F,Unspecified,,,,,Inhibition,=,13.68,%,Average; N=4,
3880,440209498,49815884,CC1=NN=C2N1C3=CC=CC=C3N(C2=O)CC(=O)NC4=CC=CC=C4F,Unspecified,,,,,Inhibition,=,-11.2,%,Average; N=3,Outside typical range
3881,440209557,15847,C1=CC(=CC=C1C=C(C#N)C#N)Cl,Unspecified,,,,,Inhibition,=,7.12,%,Average; N=2,
3882,440209573,49673081,CSC1=CC=CC(=C1)NC(=O)CN2C(=O)N3C=C(C=CC3=N2)C(=O)NCC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,5.85,%,Average; N=4,
3883,440209602,49663006,C1=CC=C(C=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)C4=CC=C(C=C4)Cl,Unspecified,,,,,Inhibition,=,-4.65,%,Average; N=4,
3884,440209736,45499500,CCCCOC1=CC=C(C=C1)C2=NN3C=CN4C(=NN=C4SCC(=O)NC5=CC=CC=C5F)C3=C2,Unspecified,,,,,Inhibition,=,-0.1,%,Average; N=4,
3885,440209785,49665056,CCC1=CC=C(C=C1)N(CC2=CC=CC=C2)S(=O)(=O)C3=CC=CN4C3=NN=C4C,Unspecified,,,,,Inhibition,=,11.03,%,Average; N=4,
3886,440209834,155561590,CC[C@H](C1=CC=CC=C1)NC2=CC=CC=C2C3=C(C=C(C=C3Cl)Br)Cl,Unspecified,,,,,Inhibition,=,29.88,%,Average; N=2,
